Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2022,1,La Rioja,9103,59228,9546,6395000,31000,84303
2022,1,Mendoza,49464,74145,123228,26969000,1379000,275185
2022,1,Misiones,39147,91752,25178,7807000,7624000,171508
2022,1,Neuquén,28443,73200,24193,23098000,745000,149679
2022,1,Río Negro,38662,45366,38037,16815000,18494000,157374
2022,1,Salta,44714,98667,40994,5950000,7190000,197515
2022,1,San Juan,34038,14449,11294,20723000,7674000,88178
2022,1,San Luis,7987,11296,31,71809000,28721000,119844
2022,1,Santa Cruz,10537,23420,10766,3974000,405000,49102
2022,1,Santa Fe,213486,444609,146552,45261000,20571000,870479
2022,1,Santiago del Estero,18118,87979,1093,6349000,2922000,116461
2022,1,Tierra del Fuego,13031,38700,416,124000,340000,52611
2022,1,Tucumán,92532,62396,86174,3995000,487000,245584
2021,4,Buenos Aires,426325,2706506,1176024,126887000,73415000,4509157
2021,4,Capital Federal,111360,1205128,60005,5679000,29947000,1412119
2021,4,Catamarca,16385,13858,25100,1512000,2235000,59090
2021,4,Chaco,35548,63145,34688,8005000,2359000,143745
2021,4,Chubut,46361,57412,9655,28041000,18839000,160308
2021,4,Córdoba,212011,487489,217214,61277000,8779000,986770
2021,4,Corrientes,42523,71183,10138,6778000,5290000,135912
2021,4,Entre Ríos,70459,133387,23452,25022000,12726000,265046
2021,4,Formosa,17211,15111,5151,16018000,172000,53663
2021,4,Jujuy,22330,60511,24156,2927000,3991000,113915
2021,4,La Pampa,8175,58000,20192,19286000,1354000,107007
2021,4,La Rioja,10387,56651,9446,6613000,31000,83128
2021,4,Mendoza,59842,71553,109667,24666000,1859000,267587
2021,4,Misiones,41778,92068,22035,7649000,7602000,171132
2021,4,Neuquén,29175,72761,23253,21531000,746000,147466
2021,4,Río Negro,42037,44495,32212,16558000,18451000,153753
2021,4,Salta,46972,99808,39555,5882000,7188000,199405
2021,4,San Juan,35868,13102,11072,11423000,8493000,79958
2021,4,San Luis,8472,11064,30,70560000,28723000,118849
2021,4,Santa Cruz,10790,22902,10031,4346000,417000,48486
2021,4,Santa Fe,233427,444373,128856,43556000,16229000,866441
2021,4,Santiago del Estero,19032,86563,1088,6256000,2922000,115861
2021,4,Tierra del Fuego,13317,38148,426,124000,342000,52357
2021,4,Tucumán,97830,59022,78790,2511000,486000,238639
2021,3,Buenos Aires,585729,2595485,885613,120228000,64554000,4251609
2021,3,Capital Federal,142902,1192107,42966,6059000,29371000,1413405
2021,3,Catamarca,18413,11709,22331,1568000,2233000,56254
2021,3,Chaco,38258,63659,27583,8018000,2353000,139871
2021,3,Chubut,49269,55794,8946,23376000,18681000,156066
2021,3,Córdoba,229275,477223,167495,57617000,15178000,946788
2021,3,Corrientes,44805,69403,7542,6766000,5303000,133819
2021,3,Entre Ríos,74443,128752,20485,23500000,13195000,260375
2021,3,Formosa,18093,14111,4730,15690000,171000,52795
2021,3,Jujuy,23554,60758,19926,2952000,3968000,111158
2021,3,La Pampa,9015,57881,17817,14479000,1295000,100487
2021,3,La Rioja,11329,54744,9444,6613000,30000,82160
2021,3,Mendoza,91474,71247,70579,21811000,828000,255939
2021,3,Misiones,43230,89469,10969,7198000,7662000,158528
2021,3,Neuquén,29650,73794,16455,19270000,640000,139809
2021,3,Río Negro,47934,44519,18725,15031000,18376000,144585
2021,3,Salta,49212,98318,36126,5724000,6453000,195833
2021,3,San Juan,40072,12922,6670,11372000,8447000,79483
2021,3,San Luis,8417,11884,27,68856000,28680000,117864
2021,3,Santa Cruz,12347,22961,6328,4269000,3071000,48976
2021,3,Santa Fe,245929,443156,93412,43447000,15640000,841584
